Datetime,String,String,String,String,Datetime,Datetime,String,String,String,String,String
date_of_origin,flight_designator,departure_airport,arrival_airport,service_type,schedule_departure,schedule_arrival,aircraft_type,status_code,aircraft_owner,cockpit_employer,cabin_employer
29Dec2019,Y4 000712 ,MEX,CUN,J,29Dec2019 17:51,29Dec2019 20:09,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000620 ,GDL,MXL,J,29Dec2019 11:40,29Dec2019 14:40,321,S,Y4,Y4,Y4
29Dec2019,Y4 000913 ,LAX,GDL,J,29Dec2019 09:25,29Dec2019 12:38,320,S,Y4,Y4,Y4
29Dec2019,Y4 005407 ,CEN,TIJ,J,29Dec2019 17:54,29Dec2019 19:40,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000711 ,CUN,MEX,J,29Dec2019 01:08,29Dec2019 03:42,21N,S,Y4,Y4,Y4
29Dec2019,Y4 000647 ,MTY,GDL,J,29Dec2019 22:03,29Dec2019 23:34,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000191 ,CUN,MTY,J,29Dec2019 19:28,29Dec2019 22:04,31A,S,Y4,Y4,Y4
29Dec2019,Y4 000633 ,CUN,GDL,J,29Dec2019 23:11,30Dec2019 02:08,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000783 ,SJD,MEX,J,29Dec2019 20:44,29Dec2019 23:01,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000750 ,MEX,MXL,J,29Dec2019 12:00,29Dec2019 15:37,21A,S,Y4,Y4,Y4
29Dec2019,Y4 000926 ,MEX,LAX,J,29Dec2019 02:16,29Dec2019 06:38,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000621 ,MXL,GDL,J,29Dec2019 15:18,29Dec2019 18:03,321,S,Y4,Y4,Y4
29Dec2019,Y4 000906 ,GDL,OAK,J,29Dec2019 00:36,29Dec2019 04:55,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000907 ,OAK,GDL,J,29Dec2019 06:10,29Dec2019 10:00,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000757 ,MID,MEX,J,29Dec2019 20:20,29Dec2019 22:31,32A,S,Y4,Y4,Y4
29Dec2019,Y4 000737 ,GDL,MEX,J,29Dec2019 15:53,29Dec2019 17:24,32A,S,Y4,Y4,Y4
